Iteration,Library,ModelName,Temperature,Strategy,Commit,File,Actual,Predicted
1,pytorch,gpt-4o-mini-2024-07-18,0,zero,https://github.com/pytorch/pytorch/commit/f3a2094065c8b4b7bae426e71c923a8a8abb74b5,torch/_dynamo/eval_frame.py,True,False
1,pytorch,gpt-4o-mini-2024-07-18,0,zero,https://github.com/pytorch/pytorch/commit/cf732053e4f6b93b0a93006613552cd97f415b80,aten/src/ATen/native/cuda/EmbeddingBag.cu,True,False
1,pytorch,gpt-4o-mini-2024-07-18,0,zero,https://github.com/pytorch/pytorch/commit/2dafa70d61a1a5af849ab79c7aed4c84686337a0,torch/_functorch/fx_minifier.py,True,False
1,pytorch,gpt-4o-mini-2024-07-18,0,zero,https://github.com/pytorch/pytorch/commit/ba59d720cd5c5c81601b53d2c3397c46c1f87883,aten/src/ATen/native/TensorFactories.cpp,True,False
1,pytorch,gpt-4o-mini-2024-07-18,0,zero,https://github.com/pytorch/pytorch/commit/43f810fa96a0d2c40387c8c84f710926d9ede3c1,torch/csrc/cuda/comm.cpp,True,False
1,pytorch,gpt-4o-mini-2024-07-18,0,zero,https://github.com/pytorch/pytorch/commit/bf32ea80942ce720b105efcd517fd11182edeb08,torch/nn/modules/instancenorm.py,True,True
1,pytorch,gpt-4o-mini-2024-07-18,0,zero,https://github.com/pytorch/pytorch/commit/40a7c317bc60713528320b9786765e4ec5707982,cmake/Modules/FindBLAS.cmake,True,False
1,pytorch,gpt-4o-mini-2024-07-18,0,zero,https://github.com/pytorch/pytorch/commit/9a9eadacc6ac3b734a6d607ae6f63ec1a0d1438d,torch/nn/_functions/vision.py,True,False
1,pytorch,gpt-4o-mini-2024-07-18,0,zero,https://github.com/pytorch/pytorch/commit/4b45f08f8765549915417997c30ae8981f2ad125,aten/src/ATen/native/Indexing.cpp,True,False
1,pytorch,gpt-4o-mini-2024-07-18,0,zero,https://github.com/pytorch/pytorch/commit/bbc7c79b20e67da450dd9b7de70cc6b68e656714,aten/src/ATen/native/sparse/cuda/SparseCsrTensorMath.cu,True,False
1,pytorch,gpt-4o-mini-2024-07-18,0,zero,https://github.com/pytorch/pytorch/commit/324dc1623e2f91892038fb1b151450a7c6529dd9,aten/src/ATen/native/TensorAdvancedIndexing.cpp,True,False
