Iteration,Library,ModelName,Temperature,Strategy,Commit,File,Actual,Predicted
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/66e0cb1d9afd251931f4f920c5d7bd638bc882b4,tensorflow/python/ops/clip_ops.py,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/480641e3599775a8895254ffbc0fc45621334f68,tensorflow/core/kernels/linalg/matrix_triangular_solve_op_impl.h,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/199f1ff12a28d571100b323ec54a5eee47078d8b,tensorflow/core/kernels/fft_ops.cc,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/1610da3f992487bd9a8181d1e83cae99fe1e34d9,tensorflow/core/kernels/mkl/mkl_avgpooling_op.cc,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/88609e2e22fa5c296de2e27e04d1cc4743b2dfcd,tensorflow/python/ops/array_ops.py,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/4f4a0276a2cf9186c0541072964676159368286e,tensorflow/python/eager/pywrap_tfe_src.cc,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/e99e31597c1b5cc9f0cbc8a3dea71674d81c20b1,tensorflow/core/kernels/rnn/gru_ops.cc,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/e560136d757867482a93be74e108ef516920bcfc,tensorflow/core/kernels/pack_op.cc,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/9a4b6b6bcc7a813162bf0378727950e321aca19c,tensorflow/python/ops/math_ops.py,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/9ce847ed140702d1dd4cb204a8afe0ffedb70b15,tensorflow/python/ops/resource_variable_ops.py,True,True
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/b4aadb17b7aa5ea926b5220008e41f33e582baed,tensorflow/lite/kernels/where.cc,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/86abddb56350bccd95d1b7140b003fb03525b890,tensorflow/python/ops/histogram_ops.py,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/0666d8bb711b41c9f03dec238d7d165bc946fc70,tensorflow/core/kernels/sparse_reorder_op.cc,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/c510c1b8b1ef5be1d65971f5b9e21e61becd0bb3,third_party/xla/xla/hlo/ir/hlo_computation.h,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/80bb2f5511e7d2d386c79da52ff517691e19ac54,tensorflow/python/ops/candidate_sampling_ops.py,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/d5862d423742ec26c46737d4526eca3b8b8a0d9b,tensorflow/lite/kernels/internal/reference/softmax.h,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/8c3822edbb31cf71cedaf49f2167e45c1e2d0b83,tensorflow/dtensor/python/dtensor_device.py,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/89334fb15c688e7dbd81878745755db01579ea70,third_party/xla/xla/stream_executor/cuda/cuda_dnn.cc,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/6c472f6632c4864da749e7a4aee8c001a905287f,third_party/xla/xla/stream_executor/cuda/cuda_driver.cc,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/1a1a381b5be7701843c3f1e34aa1846ae2a1d0ce,tensorflow/compiler/mlir/tensorflow/transforms/shape_inference.cc,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/81ff894c113a5912ba52078ac27e36d06831112e,third_party/xla/xla/array.h,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/06b89ed1bdf606adb21d66664ca7ab5eaffdd58f,tensorflow/core/util/tensor_bundle/tensor_bundle.cc,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/798b2ebda0cc6f12f1ca6460611f760149771a11,tensorflow/lite/kernels/control_flow_common.h,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/e1dbfeba8acb1df8f42dfa6f76262f5cb23e1fa1,third_party/xla/xla/stream_executor/cuda/cuda_driver.cc,True,False
4,tensorflow,gpt-4o-mini-2024-07-18,0,zero,https://github.com/tensorflow/tensorflow/commit/1707ed9b9b0cc5cb02df22a06718c9c738825d39,third_party/xla/xla/service/memory_space_assignment/memory_space_assignment.cc,True,False
